Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
0.0,-1.445025325,0.5753266811,9.491132736,-0.1944645792,0.05862560868,-0.2403318435
0.002,-1.442745924,0.5860335231,9.493871689,-0.1988628209,0.06140068173,-0.2469117343
0.004,-1.434768438,0.6151182652,9.494647026,-0.202545464,0.06475171447,-0.2533869147
0.006,-1.414532661,0.6401329637,9.496170044,-0.2065771669,0.06894050539,-0.260438025
0.008,-1.396863461,0.6583672166,9.488183022,-0.2107485086,0.07412413508,-0.2677160501
0.01,-1.360768437,0.6575148106,9.473320007,-0.2146405876,0.07939502597,-0.274156332
0.012,-1.34931457,0.6587215066,9.474431038,-0.2187595665,0.08436921239,-0.2805616856
0.014,-1.327757239,0.6665553451,9.484323502,-0.2220058739,0.0901986137,-0.286652863
0.016,-1.307808757,0.657754302,9.496552467,-0.2246064246,0.09761626273,-0.292272836
0.018,-1.283186793,0.6605315208,9.51436615,-0.2269102484,0.1056796834,-0.2980498672
0.02,-1.255414009,0.6482444406,9.533337593,-0.2281668931,0.1133765876,-0.304490149
0.022,-1.245932937,0.6511175036,9.541180611,-0.2283763289,0.1209338605,-0.3124837577
0.024,-1.238951564,0.6460130811,9.541104317,-0.2278178334,0.128752932,-0.3207915127
0.026,-1.223312616,0.6171485782,9.553908348,-0.2269626111,0.137601763,-0.3282789886
0.028,-1.20913887,0.5932257175,9.571749687,-0.225985229,0.1478468478,-0.3360456824
0.03,-1.194122434,0.5386283398,9.582304001,-0.2240130156,0.1583188176,-0.344266206
0.032,-1.182208896,0.5202409029,9.592627525,-0.2213077545,0.1685813516,-0.3529753983
0.034,-1.152798533,0.5122538209,9.608658791,-0.2195798755,0.1787566245,-0.3615798652
0.036,-1.142541766,0.5158067942,9.618724823,-0.2182359695,0.1888969839,-0.3698178232
0.038,-1.131451726,0.547142148,9.619308472,-0.2164382786,0.1999623775,-0.3782128394
0.04,-1.130551577,0.5860526562,9.620630264,-0.2153910846,0.2120575011,-0.3863635361
0.042,-1.132821321,0.6320787668,9.626481056,-0.2146405876,0.2245540619,-0.3953694403
0.044,-1.135043144,0.7438018918,9.613743782,-0.2140297294,0.2365793735,-0.4050385654
0.046,-1.142541766,0.8225423694,9.600002289,-0.214082092,0.2465277612,-0.4143237174
0.048,-1.143365383,0.8689994216,9.595395088,-0.2134886682,0.2559350729,-0.4234866798
0.05,-1.128387213,0.9535243511,9.587303162,-0.2129127085,0.2660754323,-0.4328940213
0.052,-1.13611567,1.080637336,9.570016861,-0.2133141458,0.2759016454,-0.4423885942
0.054,-1.133855581,1.118877411,9.565420151,-0.2138028294,0.2855707705,-0.4519529939
0.056,-1.120515108,1.189879894,9.550767899,-0.2146231383,0.2942450643,-0.462459892
0.058,-1.131413579,1.247034311,9.550116539,-0.2162288427,0.3015579879,-0.4727398753
0.06,-1.126481414,1.310662627,9.567000389,-0.217817083,0.3086440265,-0.4819726646
0.062,-1.105690241,1.337822556,9.57026577,-0.21879448,0.3156253397,-0.4914149046
0.064,-1.103133202,1.348280311,9.569327354,-0.2194925994,0.3222575784,-0.5006302595
0.066,-1.102654457,1.350109458,9.572286606,-0.2204176337,0.3290643692,-0.5091125369
0.068,-1.099197149,1.363813877,9.578329086,-0.221115768,0.3349810541,-0.5182406306
0.07,-1.093451023,1.363296747,9.580809593,-0.2220233381,0.3386636972,-0.5276479125
0.072,-1.09291482,1.356487632,9.574508667,-0.2239781022,0.3420496285,-0.5362000465
0.074,-1.102606416,1.340705037,9.579699516,-0.2253918201,0.3469016552,-0.5441063643
0.076,-1.105795503,1.34374094,9.58646965,-0.2266135514,0.3523470759,-0.5520650744
0.078,-1.103631258,1.341011524,9.589974403,-0.2280447185,0.3570943773,-0.5597096086
0.08,-1.110210419,1.334863186,9.596716881,-0.22800982,0.361859113,-0.5669353008
0.082,-1.131087899,1.351641774,9.602865219,-0.227032423,0.3669554591,-0.5739864111
0.084,-1.143260002,1.383714437,9.612968445,-0.2263343036,0.3715631366,-0.5809503198
0.086,-1.153507233,1.402341485,9.611618042,-0.2260375917,0.3769038618,-0.5882108808
0.088,-1.156552553,1.438197017,9.613026619,-0.2256012559,0.3831870258,-0.5943195224
0.09,-1.176711798,1.488982797,9.619394302,-0.2247984111,0.3888942599,-0.5993286371
0.092,-1.184220076,1.544365525,9.628214836,-0.2238384783,0.394374609,-0.6048438549
0.094,-1.195645094,1.593188047,9.635532379,-0.223140344,0.4003959894,-0.6108652353
0.096,-1.205499768,1.650122046,9.639410019,-0.2231577933,0.406958431,-0.6164851785
0.098,-1.208410978,1.698025227,9.646162033,-0.2238035649,0.4124562144,-0.6219131947
0.1,-1.214808345,1.760810733,9.661619186,-0.2240653634,0.4165926278,-0.6279171109
0.102,-1.240857244,1.860438347,9.694611549,-0.2238559276,0.4201705754,-0.633833766
0.104,-1.239238739,1.930301189,9.714378357,-0.2243969738,0.4235216081,-0.6390872002
0.106,-1.235005856,1.954511404,9.720487595,-0.2255663574,0.4270995259,-0.6440613866
0.108,-1.227440238,2.029066801,9.744353294,-0.2263692021,0.4304505587,-0.6492450237
0.11,-1.209387898,2.073541403,9.760519028,-0.226055041,0.4330685437,-0.6548300982
0.112,-1.202253222,2.092417479,9.768390656,-0.2256187052,0.4354072809,-0.6605722308
0.114,-1.170745492,2.126798153,9.781568527,-0.2260724902,0.4379380047,-0.665755868
0.116,-1.131403923,2.156112909,9.79591465,-0.2262470275,0.4402244091,-0.6710093021
0.118,-1.091238737,2.166426897,9.813689232,-0.2253743708,0.4427376688,-0.6766292453
0.12,-1.054435134,2.177813768,9.820010185,-0.2237512022,0.4453382194,-0.6823888421
0.122,-1.005354047,2.192590714,9.826196671,-0.2205747068,0.4486019611,-0.6891432405
0.124,-0.9659742117,2.185762405,9.838722229,-0.2164382786,0.4530874789,-0.6963165402
0.126,-0.9218633771,2.189976215,9.843367577,-0.2128603607,0.4571191967,-0.7036643624
0.128,-0.8843702674,2.228158951,9.855079651,-0.2091951668,0.4619188309,-0.7113787532
0.13,-0.8436783552,2.269693613,9.882834435,-0.2051809132,0.4679751396,-0.71862185
0.132,-0.8097573519,2.299793482,9.908231735,-0.2013237327,0.4735950828,-0.7256904244
0.134,-0.7888798714,2.333781719,9.916812897,-0.1962971836,0.4787263572,-0.7335968018
0.136,-0.7659626007,2.346767902,9.923716545,-0.1910960972,0.4836656451,-0.7422012687
0.138,-0.7359009981,2.358757973,9.937804222,-0.1873960048,0.4881860316,-0.7507359385
0.14,-0.7310455441,2.373851061,9.944643021,-0.1830501258,0.4922352135,-0.7589564323
0.142,-0.7260751724,2.385429382,9.963010788,-0.1784424633,0.4957956672,-0.766723156
0.144,-0.7230010629,2.383791685,9.981273651,-0.174672544,0.4988150895,-0.774297893
0.146,-0.7297335267,2.392276764,10.00104046,-0.1706059277,0.5022534132,-0.7821169496
0.148,-0.7379504442,2.406239748,10.02921486,-0.1664346009,0.5049062967,-0.7912973762
0.15,-0.7474410534,2.443359375,10.05112648,-0.162839219,0.5063025355,-0.8010362983
0.152,-0.7684238553,2.483495951,10.0720911,-0.1588424146,0.508449316,-0.8106705546
0.154,-0.7742369175,2.535162687,10.08891678,-0.1537460536,0.510910213,-0.8199731112
0.156,-0.7752042413,2.597756863,10.11366272,-0.1475675851,0.513179183,-0.8294328451
0.158,-0.8017415404,2.669343233,10.13858223,-0.141266942,0.5153608322,-0.8395906091
0.16,-0.8058978915,2.746771812,10.1675806,-0.13459979,0.5171934366,-0.849416852
0.162,-0.8139806986,2.805506229,10.18268394,-0.1274613887,0.5185722113,-0.8590859771
0.164,-0.8122281432,2.867535353,10.19652176,-0.1198343039,0.5194448829,-0.8696626425
0.166,-0.8069512844,2.927467108,10.20698929,-0.1119803265,0.5210680366,-0.8802742362
0.168,-0.8055914044,2.976050377,10.19752693,-0.1037423685,0.5226737261,-0.8905891776
0.17,-0.7811992764,3.004713535,10.18704128,-0.0947015658,0.523947835,-0.9017418027
0.172,-0.7435719967,3.049829721,10.17991638,-0.0853466019,0.5260596871,-0.9128944874
0.174,-0.7294175029,3.07076478,10.17644882,-0.07648032904,0.5287998319,-0.9234362245
0.176,-0.6913784146,3.103421688,10.17788601,-0.06878342479,0.5308768153,-0.9337337017
0.178,-0.6564996839,3.128608704,10.19116879,-0.06089453772,0.5329712033,-0.9439089894
0.18,-0.64370507,3.140579939,10.19611073,-0.0526391305,0.5354146361,-0.9537351727
0.182,-0.6093626022,3.153632879,10.19671345,-0.04455825686,0.5373519659,-0.9640500546
0.184,-0.5825954676,3.168879032,10.20152187,-0.03652974218,0.539394021,-0.9745743871
0.186,-0.565472126,3.203116179,10.21461201,-0.02914699912,0.541488409,-0.9845227599
0.188,-0.5423440933,3.223399878,10.22299194,-0.02267182618,0.5436177254,-0.9945758581
0.19,-0.5040081739,3.231980801,10.25108147,-0.01656317525,0.546043694,-1.004663825
0.192,-0.4927746058,3.240370035,10.2628603,-0.01029744279,0.5489409566,-1.014455199
0.194,-0.4681909084,3.242457867,10.27526283,-0.003647738136,0.5513843894,-1.023810148
0.196,-0.447303921,3.244478464,10.29034615,0.002216568217,0.5533217192,-1.032658935
0.198,-0.4141011238,3.26354599,10.31154919,0.006806783844,0.5559920669,-1.041001678
0.2,-0.3909922838,3.271264791,10.3275423,0.01120501384,0.5586624146,-1.049134851
0.202,-0.3725281954,3.290811062,10.35915565,0.01583013684,0.5600761771,-1.057494998
0.204,-0.3734284341,3.296269894,10.37244797,0.02024581842,0.5606346726,-1.065628171
0.206,-0.3550409675,3.29731369,10.40180111,0.0245567821,0.5611931682,-1.07304585
0.208,-0.3200856149,3.314599752,10.42608833,0.02822197415,0.5620483756,-1.078910232
0.21,-0.2901389599,3.330612421,10.44415951,0.03127630055,0.5623974204,-1.084128737
0.212,-0.2673365474,3.343512297,10.46709538,0.03347541392,0.562222898,-1.091930389
0.214,-0.247052893,3.350809813,10.4984684,0.0340513736,0.562153101,-1.101739049
0.216,-0.2238578647,3.361880541,10.52801323,0.03364994749,0.5624323487,-1.109523296
0.218,-0.1939877868,3.383495331,10.56978703,0.0334928669,0.5609662533,-1.117115378
0.22,-0.1647210717,3.409707069,10.60915852,0.03310889751,0.5575454235,-1.125562787
0.222,-0.1361055821,3.436771154,10.63301373,0.03232349828,0.5536184311,-1.133731008
0.224,-0.1097023264,3.453329563,10.64104843,0.0307352487,0.5485395193,-1.1424402
0.226,-0.09240660816,3.472550154,10.65853596,0.02789036185,0.5430068374,-1.151027203
0.228,-0.07505343854,3.475988388,10.68360806,0.02483603545,0.5375962853,-1.159875989
0.23,-0.0534290038,3.466449738,10.70794201,0.02169444226,0.5325523019,-1.167904496
